23:54:59  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
23:54:59  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
23:54:59  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
23:54:59  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
23:54:59  |  Core  |  Info  |  Load ini file 'TextCursor.xml'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
23:54:59  |  Core  |  Info  |  Gui successfully initialized  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_Gui.cpp  |  136
23:54:59  |  Core  |  Warning  |  Texture '3.png' have non power of two size  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_TextureUtility.cpp  |  76
23:55:40  |  Core  |  Info  |  * Shutdown: Gui  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_Gui.cpp  |  150
23:55:40  |  Core  |  Info  |  * Shutdown: PointerManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_PointerManager.cpp  |  85
23:55:40  |  Core  |  Info  |  PointerManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_PointerManager.cpp  |  101
23:55:40  |  Core  |  Info  |  * Shutdown: InputManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_InputManager.cpp  |  83
23:55:40  |  Core  |  Info  |  InputManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_InputManager.cpp  |  88
